feature,baseline_RMSE_W,permuted_RMSE_W,delta_RMSE_W,baseline_MAE_W,permuted_MAE_W,delta_MAE_W,baseline_RMSLE,permuted_RMSLE,delta_RMSLE,rank
log_elapsed_s,19.117176694934138,37.75790465191988,18.640727956985742,11.805650719222998,26.761915262739514,14.956264543516516,0.1650317051451937,0.4305741109014786,0.26554240575628496,1
sin_pitch,19.117176694934138,33.3554878185054,14.238311123571265,11.805650719222998,26.46504060682198,14.659389887598982,0.1650317051451937,0.39183246447992004,0.22680075933472635,2
air_rho,19.117176694934138,26.9097333100985,7.7925566151643615,11.805650719222998,17.03714984451527,5.231499125292272,0.1650317051451937,0.2778641276341592,0.1128324224889655,3
pitch,19.117176694934138,26.570199290690766,7.453022595756629,11.805650719222998,19.956052324096543,8.150401604873545,0.1650317051451937,0.31002355662890224,0.14499185148370855,4
elapsed_s,19.117176694934138,22.795218804763817,3.678042109829679,11.805650719222998,15.194714529237148,3.38906381001415,0.1650317051451937,0.20744961000280823,0.04241790485761454,5
pos_ay,19.117176694934138,21.666094101449524,2.548917406515386,11.805650719222998,13.993351521916082,2.187700802693085,0.1650317051451937,0.20571313541511735,0.04068143026992366,6
air_ambient_temperature,19.117176694934138,21.56346748333475,2.4462907884006135,11.805650719222998,14.872712494582657,3.06706177535966,0.1650317051451937,0.2091445892848019,0.044112884139608205,7
accel_magnitude,19.117176694934138,21.46965020314376,2.3524735082096235,11.805650719222998,14.038758708999755,2.233107989776757,0.1650317051451937,0.20916706589970918,0.04413536075451549,8
cos_pitch,19.117176694934138,21.349988876535654,2.232812181601517,11.805650719222998,14.309006395257331,2.5033556760343334,0.1650317051451937,0.18751128882044618,0.02247958367525249,9
time_cos_120s,19.117176694934138,21.289496066844432,2.1723193719102944,11.805650719222998,13.850863024813002,2.045212305590004,0.1650317051451937,0.1971876611188709,0.03215595597367721,10
t_sec,19.117176694934138,21.2413051388098,2.1241284438756622,11.805650719222998,13.77117523183533,1.9655245126123333,0.1650317051451937,0.19630005403297504,0.03126834888778135,11
dynamic_pressure,19.117176694934138,21.240379421347782,2.123202726413645,11.805650719222998,14.262990729162757,2.4573400099397595,0.1650317051451937,0.18671170547510788,0.021680000329914184,12
pos_vz,19.117176694934138,21.223336231636363,2.1061595367022257,11.805650719222998,13.888947515721256,2.0832967964982583,0.1650317051451937,0.20416367415484593,0.03913196900965224,13
climb_rate,19.117176694934138,21.074761698576737,1.957585003642599,11.805650719222998,13.554370996146773,1.748720276923775,0.1650317051451937,0.19686692342580073,0.031835218280607036,14
pos_vx,19.117176694934138,21.072933766726525,1.9557570717923873,11.805650719222998,13.908542991276466,2.1028922720534684,0.1650317051451937,0.20455105995287606,0.03951935480768237,15
true_airspeed,19.117176694934138,20.98769636169538,1.8705196667612434,11.805650719222998,13.2888619280915,1.4832112088685019,0.1650317051451937,0.18778281880608838,0.02275111366089469,16
sink_positive,19.117176694934138,20.842702550559874,1.7255258556257367,11.805650719222998,13.764000619679848,1.9583499004568505,0.1650317051451937,0.21572051962733446,0.05068881448214077,17
climb_positive,19.117176694934138,20.7977545296821,1.680577834747961,11.805650719222998,13.444181221191199,1.6385305019682015,0.1650317051451937,0.18816303191070619,0.023131326765512494,18
sin_roll,19.117176694934138,20.77490567183702,1.657728976902881,11.805650719222998,13.704014676445084,1.8983639572220863,0.1650317051451937,0.19196915266127304,0.02693744751607935,19
airspeed_cubed,19.117176694934138,20.6312481264911,1.5140714315569639,11.805650719222998,13.961663889717471,2.1560131704944734,0.1650317051451937,0.179850958127127,0.014819252981933317,20
pos_vy,19.117176694934138,20.57683678687479,1.459660091940652,11.805650719222998,13.553403026254683,1.7477523070316856,0.1650317051451937,0.19360015184148274,0.02856844669628905,21
roll,19.117176694934138,20.53616745457358,1.418990759639442,11.805650719222998,13.339783607019875,1.5341328877968774,0.1650317051451937,0.19122614888283201,0.026194443737638323,22
speed_horizontal,19.117176694934138,20.273938063727602,1.1567613687934646,11.805650719222998,13.253608926671617,1.44795820744862,0.1650317051451937,0.191574157744773,0.026542452599579297,23
pos_ax,19.117176694934138,20.237435826529637,1.1202591315954997,11.805650719222998,13.234912845436012,1.4292621262130147,0.1650317051451937,0.18834956645735923,0.02331786131216554,24
tilt_angle,19.117176694934138,20.074700998421665,0.9575243034875278,11.805650719222998,12.999996951463613,1.1943462322406155,0.1650317051451937,0.18871103636241013,0.023679331217216437,25
headwind_x_airspeed,19.117176694934138,20.054786309721276,0.9376096147871387,11.805650719222998,12.965423157092301,1.1597724378693037,0.1650317051451937,0.1788578666934756,0.013826161548281896,26
load_factor_proxy,19.117176694934138,19.986158155442354,0.8689814605082162,11.805650719222998,12.927151646749738,1.121500927526741,0.1650317051451937,0.18203784946260929,0.017006144317415595,27
ground_speed_3d,19.117176694934138,19.951034332560983,0.8338576376268456,11.805650719222998,13.065443578919492,1.2597928596964945,0.1650317051451937,0.1787096049261469,0.013677899780953212,28
time_sin_120s,19.117176694934138,19.910757403897108,0.7935807089629705,11.805650719222998,12.989844263230378,1.18419354400738,0.1650317051451937,0.17980031791695336,0.01476861277175967,29
cos_roll,19.117176694934138,19.794040204435017,0.6768635095008797,11.805650719222998,12.839198586970197,1.033547867747199,0.1650317051451937,0.1816573327707765,0.01662562762558281,30
