campaign,feature,mean_abs_shap,rank
4,ground_speed_3d,0.6275586313340386,1
4,speed_horizontal,0.4978932147583844,2
4,sin_pitch,0.41691853479744484,3
4,pitch,0.39356532901503216,4
4,log_elapsed_s,0.3279776419736411,5
4,headwind_x_airspeed,0.20475952283076435,6
4,elapsed_s,0.18803138537093134,7
4,climb_rate,0.17220880260060614,8
4,accel_magnitude,0.16651253445507425,9
4,t_sec,0.15914842322002137,10
4,sin_roll,0.1532724157366759,11
4,dynamic_pressure,0.15320755382687568,12
4,load_factor_proxy,0.14612693046352815,13
4,time_cos_120s,0.14533186953845262,14
4,pos_vy,0.1430042665982678,15
4,pos_vx,0.1334037356079391,16
4,climb_positive,0.1302262413888484,17
4,pos_ay,0.12089819220731288,18
4,cos_pitch,0.11955494076024381,19
4,airspeed_cubed,0.1192148300394553,20
4,pos_ax,0.11704953511139486,21
4,tilt_angle,0.11631719039424711,22
4,roll,0.11598636285170524,23
4,sink_positive,0.11586671676258126,24
4,cos_roll,0.11457327310210312,25
4,pos_vz,0.11410433065362885,26
4,time_sin_120s,0.11015556512620217,27
4,pos_az,0.10292693306901889,28
4,headwind_component,0.10086151293606432,29
4,time_cos_60s,0.10029122325357008,30
4,true_airspeed,0.09065090711882491,31
4,wind_east,0.07628580623300094,32
4,time_sin_10s,0.07451447263090917,33
4,time_cos_30s,0.07359963463974278,34
4,wind_north,0.07152480985386281,35
4,air_rho,0.06167284772741785,36
4,time_cos_10s,0.06123737596072094,37
4,time_sin_60s,0.05891430307948099,38
4,time_sin_30s,0.05776914668415881,39
4,air_ambient_temperature,0.0370660508664596,40
5,sin_pitch,0.40599864511771544,1
5,pitch,0.3862825689542001,2
5,ground_speed_3d,0.3374416155065266,3
5,log_elapsed_s,0.30151504260733186,4
5,speed_horizontal,0.2683170833726876,5
5,air_rho,0.1796905261304569,6
5,wind_east,0.16310229895017544,7
5,wind_north,0.16073786834681497,8
5,elapsed_s,0.1604499475123868,9
5,climb_rate,0.1579900639326116,10
5,sin_roll,0.15759265709678844,11
5,time_cos_120s,0.15667064267565042,12
5,t_sec,0.1424258182527699,13
5,air_ambient_temperature,0.13235428775629735,14
5,pos_vy,0.1322035056192794,15
5,accel_magnitude,0.12965373767084032,16
5,dynamic_pressure,0.12576595110582417,17
5,cos_pitch,0.12492716659064453,18
5,pos_vx,0.12401874842479568,19
5,pos_ay,0.11998539464298055,20
5,load_factor_proxy,0.1192813490208122,21
5,roll,0.11581756058373845,22
5,airspeed_cubed,0.11301431938297485,23
5,climb_positive,0.111713674181365,24
5,sink_positive,0.10732961064459004,25
5,time_cos_60s,0.10335650233546555,26
5,time_sin_120s,0.10048396970365256,27
5,tilt_angle,0.09909449234196717,28
5,headwind_x_airspeed,0.09746987879592794,29
5,pos_vz,0.09729100899932033,30
5,cos_roll,0.09171604764938945,31
5,pos_ax,0.0904546398980525,32
5,time_sin_10s,0.07419346539490566,33
5,pos_az,0.07314700202468144,34
5,true_airspeed,0.06537660370364336,35
5,time_cos_30s,0.06139394663866561,36
5,time_sin_60s,0.058249242215553686,37
5,time_sin_30s,0.056806085389924946,38
5,time_cos_10s,0.05425851539653876,39
5,headwind_component,0.05036209522876122,40
6,ground_speed_3d,0.47367493272598377,1
6,sin_pitch,0.39457671814113804,2
6,speed_horizontal,0.3814275725199421,3
6,pitch,0.3652257768833752,4
