feature,mean_abs_shap,ci_low,ci_high,mean_abs_log_shap,log_ci_low,log_ci_high,recent_abs_shap,older_abs_shap,rank
ground_speed_3d,0.4663808673328404,0.43064386,0.5038564,0.004514974011438202,0.004111436,0.0049310816,2.6497202696730358,0.062058755788358566,1
sin_pitch,0.39855655444335564,0.38646716,0.41037038,0.003705935587291481,0.003550305,0.0038727012,2.152341816414089,0.07378150593025873,2
pitch,0.3729117905872195,0.3595672,0.38538224,0.0034851088027083713,0.00334118,0.003637791,1.9684008376120494,0.07745085595299268,3
speed_horizontal,0.37244691486527726,0.34415564,0.4021077,0.003564164580710828,0.0032515684,0.0038912129,2.1578063223544093,0.0418248023672895,4
log_elapsed_s,0.30453099031275055,0.29666618,0.31206608,0.002313917982034689,0.0022598216,0.0023712548,1.0523505485371956,0.16604588693785463,5
elapsed_s,0.16710377840361645,0.16277827,0.1715649,0.0013399705011525715,0.0013063481,0.0013781986,0.7960512659273267,0.05063202145478083,6
climb_rate,0.15848629005774195,0.15373802,0.16317517,0.0014106173584916084,0.0013697163,0.001453706,0.6802352675538683,0.06186610903994134,7
sin_roll,0.15685935089403963,0.1524902,0.16118158,0.0014010851115093454,0.0013713213,0.0014299392,0.5393820725855305,0.08602180984005975,8
accel_magnitude,0.15169631783718288,0.14537156,0.15863147,0.0013816999038820774,0.0013173402,0.00144463,0.6414829247901016,0.06099509432738189,9
time_cos_120s,0.14910633545312543,0.14583091,0.15210396,0.0013456290632228995,0.0013135831,0.0013808428,0.6457264478111826,0.05713964797941153,10
t_sec,0.14660925890254917,0.14330941,0.15022695,0.0012282847333422706,0.0011952552,0.0012665179,0.6839290595656076,0.04710559211309412,11
headwind_x_airspeed,0.14518818874659672,0.13351905,0.1580438,0.0013529707016262207,0.001235661,0.0014763379,0.7804017946233912,0.027556039510152706,12
dynamic_pressure,0.14228225774567616,0.13342614,0.15143073,0.0012388796445267451,0.0011580193,0.0013164257,0.35296329825668327,0.10326725024363577,13
pos_vy,0.13468387390139674,0.13087317,0.13842848,0.0013294630936024991,0.0012919042,0.0013676848,0.501538512438605,0.06674782972783817,14
load_factor_proxy,0.13193630560433336,0.12545532,0.13914037,0.0011225316384444735,0.0010685321,0.0011786284,0.6570183867824178,0.03469888316394721,15
air_rho,0.13023923778753582,0.11078384,0.15306713,0.0011733045288458695,0.0009858769,0.0013967134,0.5601716879441107,0.05062211738817047,16
pos_vx,0.12713018923515118,0.12230285,0.13177189,0.0010821004821193836,0.001044695,0.0011218897,0.5548426745882885,0.0479241734290147,17
cos_pitch,0.11973246428511972,0.11425042,0.1260224,0.0010083686780002407,0.0009627693,0.0010586762,0.4811357462877745,0.052805930580925066,18
climb_positive,0.11830839624536024,0.11465338,0.12200949,0.001067185801209783,0.0010230627,0.0011126306,0.33752403538650755,0.07771290751551856,19
pos_ay,0.11797078460708993,0.11417098,0.121693745,0.0010493011717194797,0.0010151813,0.0010842248,0.33806903572241925,0.07721184921536232,20
airspeed_cubed,0.1179109368653357,0.11116853,0.12531593,0.0009480789077652007,0.0008962637,0.0010011052,0.3548448405565083,0.07403428803363701,21
roll,0.11561038416413169,0.11180176,0.11922549,0.000996934726867716,0.00097370206,0.0010199355,0.3528198866899828,0.07168269851119563,22
sink_positive,0.11075712369226111,0.1079813,0.11378293,0.0011258880857356738,0.0010844294,0.001170075,0.5128286572927806,0.03629943228475713,23
wind_east,0.10943603105641,0.09791154,0.12074878,0.0010483547038590204,0.0009386753,0.001146877,0.5174679751540311,0.0338745599272215,24
wind_north,0.10930412296104301,0.098650604,0.120618515,0.0009938920502465783,0.000889724,0.001101963,0.5054952975116337,0.035935386933155414,25
tilt_angle,0.10488981847019331,0.10123922,0.10896938,0.00094096415368814,0.00090881536,0.0009747327,0.4412050847923392,0.042609213595721424,26
time_sin_120s,0.10443950036120488,0.10222075,0.106814906,0.0009304205594305006,0.0008980998,0.0009649863,0.4822250851702471,0.03447920687804916,27
pos_vz,0.10319256473325915,0.10008153,0.10631078,0.0009214585116008,0.00088837475,0.00095470407,0.4135301174942292,0.045722647555301116,28
